desi_id,mean_fiber_ra,mean_fiber_dec,z,zerr,ra,dec,type,shape_r,shape_e1,shape_e2,sersic,ebv,brickid,dchisq_psf,dchisq_rex,dchisq_exp,dchisq_dev,dchisq_ser,id,flux_g,flux_r,flux_i,flux_z,flux_w1,flux_w2,flux_w3,flux_w4,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z,flux_ivar_w1,flux_ivar_w2,flux_ivar_w3,flux_ivar_w4,mw_transmission_i,fitbits,mw_transmission_w1,brickname,mw_transmission_z,mw_transmission_g,maskbits,mw_transmission_w2,mw_transmission_w3,objid,mw_transmission_w4,mw_transmission_r,apflux_g_0_5,apflux_g_0_75,apflux_g_1_0,apflux_g_1_5,apflux_g_2_0,apflux_g_3_5,apflux_r_0_5,apflux_r_0_75,apflux_r_1_0,apflux_r_1_5,apflux_r_2_0,apflux_r_3_5
39627841511360258,144.5620457183958,2.125381398308863,0.2639059223831958,2.170948158795941e-05,144.56204927832184,2.125329888528288,SER,0.7791356,0.013238474,-0.29439908,2.297084,0.04137248,343906,561874.56,638091.56,648992.0,647939.94,650017.9,J144.562049+2.125330,6.368239,16.213947,25.3322,31.923996,45.972187,38.735134,118.292656,930.25867,4612.1777,1438.5502,47.022255,54.904068,2.5260975,0.5718431,0.0008820954,3.326859e-06,0.9411395,0,0.99301314,"(49, 52, 52, 54, 112, 48, 50, 50)",0.9549028,0.8847316,0,0.99570334,0.9990821,3098,0.9996533,0.92081296,1.0245637,1.9626814,2.881417,4.301799,5.1396756,6.319459,2.9394834,5.477404,7.853313,11.341664,13.331753,16.089691
39627913871493704,143.528845443783,5.345103468701501,0.051151954766985,5.485890488220399e-06,143.5288403583633,5.345095009091131,REX,0.43002987,0.0,0.0,1.0,0.0387435,361158,68366.55,74658.83,75205.61,75175.3,0.0,J143.528840+5.345095,5.748178,9.041049,10.886122,12.00532,6.873447,3.5820408,2.8035688,422.01474,544.97266,250.55179,225.59521,66.98461,3.4909773,0.70555,0.00065582525,2.4735104e-06,0.94477445,0,0.99345565,"(49, 52, 51, 53, 112, 48, 53, 50)",0.957707,0.8916437,0,0.9959758,0.9991404,3031,0.99967533,0.9256528,1.2446676,2.2802868,3.1982253,4.505109,5.1525536,5.698997,2.441001,4.2801003,5.8296447,7.8317776,8.774155,9.460915
39627925938506158,145.4685227114596,5.706488173091508,0.4664879395850378,9.028630730759048e-05,145.46854507609626,5.706471229985645,SER,1.0025364,0.3546179,-0.1451641,2.3865745,0.039489653,364035,118477.47,139265.39,144319.27,143620.28,144545.25,J145.468545+5.706471,2.6727643,13.970409,25.78294,35.67651,75.92491,55.984768,29.716871,420.3467,779.513,273.71054,16.496292,58.15148,1.9828554,0.513936,0.0006560098,2.4179335e-06,0.9437414,0,0.99333,"(49, 52, 53, 52, 112, 48, 53, 55)",0.95691025,0.88967645,0,0.9958985,0.9991238,3490,0.9996691,0.9242766,0.32058382,0.6410767,0.9673956,1.5563748,1.9549413,2.7967913,2.277288,4.2503653,6.1161423,9.022225,10.876251,13.478001
39627907915583647,147.5744526493872,5.108766635613725,0.2559414586454063,5.647083134199534e-06,147.5744306416033,5.108755215839103,SER,2.0543263,-0.037260514,-0.22199437,0.70439035,0.025956592,359738,249588.06,608710.2,596563.06,628731.5,630930.06,J147.574431+5.108755,10.731687,18.849808,24.382444,26.212633,25.958288,28.237766,-258.2309,25693.594,3149.8948,97.345764,361.41214,12.751135,2.4315383,0.49349457,0.0006782211,2.4177127e-06,0.96265537,0,0.9956108,"(49, 52, 55, 53, 112, 48, 53, 48)",0.9714638,0.926041,0,0.9973022,0.999424,12366,0.99978244,0.9495582,0.6347672,1.3101029,2.1299615,3.9996586,5.881361,9.669736,1.0040267,2.088063,3.4382575,6.495887,9.556882,16.041344
39627823484244102,150.2058103357322,1.426978690386059,1.246748205946168,8.351065014826121e-05,150.20577749239973,1.426980210828048,REX,0.38299766,0.0,0.0,1.0,0.020204663,339608,2621.4717,2921.404,2910.4275,2939.3042,0.0,J150.205777+1.426980,0.41040164,0.41405126,0.50688344,0.6197156,-0.577217,-2.60308,88.562904,-2310.077,4451.7734,8684.816,1939.9423,475.47333,3.76564,0.6762653,0.00093333574,3.048133e-06,0.97080874,0,0.9965818,"(49, 53, 48, 49, 112, 48, 49, 53)",0.9777163,0.9419436,16392,0.99789935,0.9995516,15200,0.99983066,0.9605119,0.10382197,0.19416617,0.2708908,0.35983917,0.40762028,0.58406055,0.122560635,0.22319198,0.2984182,0.37065926,0.39016107,0.52233726
39627835551253509,149.2951187419691,1.975651952818161,0.1358176370673247,9.356049096627829e-06,149.29512539372064,1.975655939513013,SER,1.0584834,-0.30069518,-0.00078569195,1.1443046,0.022339476,342485,495636.88,656501.75,665517.56,676143.5,676284.9,J149.295125+1.975656,5.6043234,8.740354,10.83331,11.782109,9.185507,1.0136541,-8.712386,-3795.7668,2172.4304,5529.081,1199.0875,324.38385,3.367569,0.6678098,0.0006671596,2.26901e-06,0.9677746,0,0.9962213,"(49, 52, 57, 51, 112, 48, 50, 48)",0.97539103,0.93600976,0,0.9976777,0.99950427,4494,0.9998128,0.9564318,0.80918884,1.5816505,2.363085,3.7171102,4.597231,5.5664716,1.2824494,2.4899902,3.7249305,5.7832713,7.119866,8.658935
39089837395051548,150.1658508977667,2.582820054751376,0.6985738800367358,0.0001236974223656,150.1658580883886,2.5828504452544245,DEV,1.0342048,-0.13061014,0.3191441,4.0,0.017107775,345368,13422.634,15234.344,15591.595,15482.947,15592.749,J150.165858+2.582850,0.24268293,1.3868523,3.7232196,5.9071784,21.760515,10.45281,97.661835,406.72427,2467.6685,2978.6084,421.70032,113.85028,2.748674,0.5899113,0.0009117693,3.172311e-06,0.9752271,0,0.99710494,"(49, 53, 48, 49, 112, 48, 50, 53)",0.98109937,0.95061845,0,0.99822104,0.9996203,11358,0.99985665,0.9664617,0.047863558,0.08120069,0.123123795,0.14976479,0.16714966,0.4891915,0.2666712,0.4739543,0.6559119,0.89994895,1.0631391,1.8011913
39627787274814157,151.7837817816198,0.0924759966472423,1.507071600315968,0.0004256109000333,151.7837911197028,0.0924449795172188,REX,0.491541,0.0,0.0,1.0,0.03094139,330975,13142.182,14898.217,14863.612,14976.961,0.0,J151.783791+0.092445,0.6795166,0.97512466,1.4053227,2.2487946,13.036217,17.104027,-71.157974,-8285.285,4127.776,8158.4336,1329.7181,499.55374,3.2498386,0.64000046,0.00070077035,2.3153277e-06,0.95564485,0,0.99477005,"(49, 53, 49, 56, 112, 48, 48, 48)",0.96607757,0.91247666,0,0.9967849,0.9993134,2438,0.9997407,0.9401665,0.13460538,0.25855651,0.38111213,0.5462665,0.6060508,0.7716555,0.19865946,0.37747464,0.5474322,0.764804,0.87935674,1.2220546
39089837395046018,150.9091133017062,2.347629687237453,0.748147552516247,9.444141174277574e-05,150.9091217970376,2.347623905439234,REX,0.4192246,0.0,0.0,1.0,0.021729238,343931,104983.98,112811.8,113010.58,112822.38,0.0,J150.909122+2.347624,0.62682855,1.7310163,4.161919,5.9282513,23.723522,17.61215,89.815094,-2267.9019,7125.0728,11153.861,3082.3022,671.07623,3.1602066,0.66536546,0.0006918763,2.287412e-06,0.9686409,0,0.9963243,"(49, 53, 48, 56, 112, 48, 50, 50)",0.97605515,0.9377021,0,0.99774104,0.9995178,12617,0.9998179,0.95759636,0.14718194,0.26935494,0.37149748,0.51493347,0.5761852,0.6926076,0.4671134,0.8263414,1.1175294,1.4713659,1.6478143,1.9622523
39089837394896396,149.0441841925672,3.187640178382474,0.6348765457468383,9.55803257163943e-05,149.04418991882062,3.1876455173781943,REX,0.23492879,0.0,0.0,1.0,0.024948858,349683,28652.041,29420.229,29483.625,29454.914,0.0,J149.044190+3.187646,0.18838122,1.0559483,2.6393046,3.8630931,11.2333,0.98071384,-63.78547,8140.6655,18939.523,2852.4968,2321.2026,630.3459,3.5305412,0.70180404,0.000636188,1.9931847e-06,0.9640789,0,0.9957808,"(49, 52, 57, 48, 112, 48, 51, 50)",0.97255635,0.92880756,0,0.9974068,0.9994464,6876,0.9997909,0.9514682,0.066569515,0.109026924,0.14155191,0.1792035,0.20473257,0.29255125,0.3246755,0.5618332,0.74416065,0.9470611,1.0042543,1.3043864
