epoch,loss/total_train,loss/recon_train,loss/kl_train,loss/total_val,loss/recon_val,loss/kl_val,val/mse_px,val/ssim,val/psnr,val/active_dims,val/kl_per_dim_mean,beta,lr
25,8728.878370242011,8579.499750352443,179.25435104943756,8945.03450276081,8768.615594161185,176.41891135308975,0.4871453138670527,nan,nan,64,2.756545305252075,0.8333333333333334,0.001
26,8700.832769178807,8547.42515345982,177.0088167118847,8916.98325892857,8742.218067140508,174.76522781257341,0.4856787953609811,nan,nan,64,2.7307066917419434,0.8666666666666667,0.001
27,8695.504108170817,8536.828462758458,176.3062608761895,8950.933490953947,8777.33845600329,173.5950561752893,0.4876299177793632,nan,nan,64,2.7124228477478027,0.9,0.001
28,8699.11213947956,8536.029307888863,174.73162876215196,8975.413379640508,8799.643576715225,175.76971033999794,0.4888691012572525,nan,nan,64,2.746401786804199,0.9333333333333333,0.001
29,8684.29484477796,8516.119937294408,173.97402713173315,8954.727120535714,8785.219153841635,169.50791426350298,0.48806772599542947,nan,nan,64,2.6485610008239746,0.9666666666666667,0.001
30,8678.86326656485,8506.039378230733,172.82390944402022,8956.65043468045,8786.63829006109,170.01205214880463,0.4881465750977509,nan,nan,64,2.6564383506774902,1.0,0.001
31,8647.032747885338,8474.081414473685,172.95134419606146,8936.219844043702,8762.249992657426,173.96986595670083,0.4867916757002809,nan,nan,64,2.7182793617248535,1.0,0.001
32,8625.447074718046,8452.520155368891,172.92689158504172,8967.344029017857,8793.794070136279,173.55001326252642,0.4885441174632625,nan,nan,64,2.711719036102295,1.0,0.001
33,8623.669929217574,8450.269810267857,173.40010965677132,9102.056097274437,8929.46745036419,172.58860870590783,0.49608153328859717,nan,nan,64,2.6966969966888428,1.0,0.001
34,8604.292517181626,8430.442404840225,173.85011532432154,8976.55529693374,8802.070187676221,174.48506864389978,0.48900391508762103,nan,nan,64,2.7263293266296387,1.0,0.001
35,8597.72623942669,8423.675906073779,174.05032383051133,8966.393899788534,8791.594109786185,174.79972862301017,0.4884218985873057,nan,nan,64,2.731245756149292,1.0,0.0005
36,8494.140309269267,8318.960357436561,175.17993450881843,8906.074842868891,8731.075958940319,174.99883562819403,0.4850597870080991,nan,nan,64,2.7343568801879883,1.0,0.0005
